I251128 20:26:43.214179 676 util/log/file_sync_buffer.go:237 ⋮ [config]   file created at: 2025/11/28 20:26:43
I251128 20:26:43.214185 676 util/log/file_sync_buffer.go:237 ⋮ [config]   running on machine: ‹Mac.lan›
I251128 20:26:43.214190 676 util/log/file_sync_buffer.go:237 ⋮ [config]   binary: CockroachDB CCL v25.3.5-dev (darwin arm64, built , go1.23.12 X:nocoverageredesign)
I251128 20:26:43.214194 676 util/log/file_sync_buffer.go:237 ⋮ [config]   arguments: [‹/Users/harris/Documents/cpi-ns/juicer/juicer-cc/cockroach-juicer/cockroach› ‹start› ‹--store=path=cockroach-data/node1,size=5GB› ‹--listen-addr=localhost:26257› ‹--http-addr=localhost:8080› ‹--join=localhost:26257,localhost:26258,localhost:26259› ‹--log-dir=logs/node1› ‹--cluster-name=default› ‹--insecure›]
I251128 20:26:43.214201 676 util/log/file_sync_buffer.go:237 ⋮ [config]   log format (utf8=✓): crdb-v2
I251128 20:26:43.214203 676 util/log/file_sync_buffer.go:237 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I251128 20:26:43.213989 676 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r2/1:/System/NodeLiveness{-Max}] 1  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.221095 678 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r3/1:/System/{NodeLive…-tsd}] 2  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.247949 1121 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r14/1:/Table/1{1-2}] 3  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.247990 677 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r2/1:/System/NodeLiveness{-Max}] 4  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.248008 677 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r3/1:/System/{NodeLive…-tsd}] 5  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.248025 677 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r14/1:/Table/1{1-2}] 6  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.255909 1246 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r9/1:/Table/{5-6}] 7  error processing replica: 0 of 1 live stores are able to take a new replica for the range (1 already has a voter, 0 already have a non-voter); likely not enough nodes in cluster
I251128 20:26:43.377922 1636 13@kv/kvserver/replicate_queue.go:785 ⋮ [T1,Vsystem,n1,replicate,s1,r5/1:/{System‹tse›-Table/0}] 8  error processing replica: avoid up-replicating to fragile quorum: 0 of 2 live stores are able to take a new replica for the range (2 already have a voter, 0 already have a non-voter); likely not enough nodes in cluster
